1,2
1,2
2,3
2,4
3,5
3,6
4,7
5,8
5,10
6,11
6,12
7,13
8,14
8,15
9,16
9,17
10,19
11,20
11,21
12,22
12,23
13,24
14,25
14,27
15,28
15,29
16,30
17,31
17,32
18,33
18,34
19,36
19,37
20,38
21,39
21,40
22,41
22,42
23,44
24,45
24,46
25,47
25,48
26,49
27,50
27,51
28,53
28,54
29,55
30,56
30,57
31,58
31,59
32,61
33,62
33,63
34,64
34,65
35,66
35,67
36,68
37,70
37,71
38,72
38,73
39,74
40,75
40,76
41,78
41,79
42,80
43,81
43,82
44,83
44,84
45,85
46,87
46,88
47,89
47,90
48,91
49,92
49,93
50,95
50,96
51,97
52,98
52,99
53,100
53,101
54,102
55,104
55,105
56,106
56,107
57,108
58,109
58,110
59,112
59,113
60,114
61,115
61,116
62,117
62,118
63,119
64,121
64,122
65,123
65,124
66,125
67,126
67,127
68,129
68,130
69,131
70,132
70,133
71,134
71,135
